ID_USER,GENERO,MONTO,FECHA,HORA,ESTABLECIMIENTO,CIUDAD,TIPO_TC,LINEA_TC,INTERES_TC,STATUS_TXN,IS_PRIME,DCTO,CASHBACK,FRAUDE,DIA_DE_LA_SEMANA,MODEL,DEVICE_SCORE,OS
1,F,254.1710526,2020-01-30,10,,Guadalajara,Fsica,94000,56,Aceptada,False,0.0,2.541710526,0,Thursday,2020,3,%%
1,F,37.00374724,2020-01-27,3,,Guadalajara,Fsica,94000,56,Rechazada,False,0.0,0.370037472,0,Monday,2020,2,%%
2,F,436.9502657,2020-01-30,6,MPago,Toluca,Virtual,55000,57,En proceso,False,87.39005313,6.99120425,0,Thursday,2020,1,%%
2,F,439.3063117,2020-01-26,16,MPago,Toluca,Fsica,55000,57,Aceptada,False,0.0,4.393063117,0,Sunday,2020,5,ANDROID
2,F,599.014183,2020-01-30,22,Super,Toluca,Fsica,55000,57,Aceptada,False,119.8028366,4.792113464,0,Thursday,2020,5,WEB
3,F,415.3643119,2020-01-26,19,Super,Toluca,Fsica,62000,34,Aceptada,False,0.0,4.153643119,0,Sunday,2020,2,ANDROID
3,F,62.60783621,2020-01-25,12,Farmacia,Toluca,Fsica,62000,34,Aceptada,False,0.0,0.626078362,0,Saturday,2020,3,ANDROID
4,--,277.1765241,2020-01-27,6,Restaurante,Merida,Fsica,83000,37,Aceptada,False,55.43530481,2.217412193,0,Monday,2020,2,WEB
5,M,31.780052,2020-01-25,11,Farmacia,Monterrey,Fsica,33000,54,En proceso,False,0.0,0.31780052,0,Saturday,2020,2,WEB
6,F,650.5538036,2020-01-26,16,Super,Guadalajara,Fsica,39000,55,Aceptada,False,0.0,6.505538036,0,Sunday,2020,3,","
8,M,121.7157878,2020-01-26,21,Abarrotes,,Fsica,76000,58,Aceptada,False,0.0,1.217157878,0,Sunday,2020,2,","
8,M,51.58899492,2020-01-29,3,Super,,Fsica,76000,58,En proceso,False,0.0,0.515889949,0,Wednesday,2020,1,ANDROID
8,M,85.9038243,2020-01-30,13,Restaurante,,Fsica,76000,58,Aceptada,False,0.0,0.859038243,0,Thursday,2020,4,ANDROID
9,F,812.3275524,2020-01-27,23,Farmacia,,Fsica,62000,45,Aceptada,False,0.0,8.123275524,0,Monday,2020,1,","
9,F,581.5642017,2020-01-26,6,Abarrotes,,Fsica,62000,45,Aceptada,False,0.0,5.815642017,0,Sunday,2020,1,WEB
10,M,948.7450691,2020-01-29,7,Super,Monterrey,Virtual,44000,42,Aceptada,False,189.7490138,15.1799211,0,Wednesday,2020,5,%%
11,F,513.6973955,2020-01-28,2,Super,,Fsica,81000,57,Aceptada,False,0.0,5.136973955,0,Tuesday,2020,2,%%
13,--,86.32159086,2020-01-27,13,Farmacia,Merida,Fsica,34000,48,Aceptada,True,8.632159086,0.776894318,0,Monday,2020,1,ANDROID
14,M,670.9361402,2020-01-25,22,MPago,Toluca,Fsica,67000,35,Aceptada,False,0.0,6.709361402,0,Saturday,2020,2,ANDROID
14,M,415.5992852,2020-01-28,8,,Toluca,Fsica,67000,35,Aceptada,False,83.11985703,3.324794281,0,Tuesday,2020,3,","
14,M,712.338018,2020-01-29,16,Abarrotes,Toluca,Fsica,67000,35,Rechazada,False,0.0,7.12338018,0,Wednesday,2020,5,%%
15,M,893.4629686,2020-01-30,4,Super,Toluca,Fsica,87000,43,Aceptada,False,0.0,8.934629686,0,Thursday,2020,5,%%
16,M,346.047056,2020-01-26,16,Restaurante,,Fsica,67000,46,Rechazada,False,0.0,3.46047056,0,Sunday,2020,5,","
18,M,749.22238,2020-01-23,21,Restaurante,Merida,Fsica,65000,57,Aceptada,False,0.0,7.4922238,0,Thursday,2020,3,ANDROID
19,F,962.2321431,2020-01-29,11,Abarrotes,,Fsica,28000,42,Aceptada,False,0.0,9.622321431,0,Wednesday,2020,1,","
19,F,878.6056021,2020-01-30,7,,,Fsica,28000,42,Aceptada,False,0.0,8.786056021,0,Thursday,2020,3,%%
19,F,567.3371532,2020-01-25,23,Super,,Fsica,28000,42,En proceso,False,0.0,5.673371532,0,Saturday,2020,2,ANDROID
19,F,407.0349166,2020-01-25,8,Super,,Virtual,28000,42,Aceptada,False,0.0,8.140698332,0,Saturday,2020,4,ANDROID
19,F,428.5217574,2020-01-24,22,Abarrotes,,Virtual,28000,42,En proceso,False,0.0,8.570435149,0,Friday,2020,2,ANDROID
19,F,490.1165458,2020-01-28,12,Farmacia,,Fsica,28000,42,En proceso,False,0.0,4.901165458,0,Tuesday,2020,5,","
19,F,186.3823064,2020-01-28,1,MPago,,Fsica,28000,42,Aceptada,False,0.0,1.863823064,0,Tuesday,2020,3,ANDROID
20,F,289.7266305,2020-01-25,1,Farmacia,,Virtual,27000,46,En proceso,True,0.0,5.794532611,0,Saturday,2020,2,ANDROID
21,M,737.3401792,2020-01-24,20,Restaurante,Monterrey,Virtual,99000,45,Aceptada,False,0.0,14.74680358,0,Friday,2020,1,","
21,M,313.8716797,2020-01-25,6,MPago,Monterrey,Fsica,99000,45,Aceptada,False,0.0,3.138716797,0,Saturday,2020,2,ANDROID
21,M,283.2662307,2020-01-28,4,Farmacia,Monterrey,Virtual,99000,45,En proceso,False,0.0,5.665324613,0,Tuesday,2020,1,%%
22,M,761.3511412,2020-01-28,18,,Merida,Virtual,73000,40,Aceptada,False,76.13511412,13.70432054,0,Tuesday,2020,1,","
26,M,959.3842695,2020-01-29,20,,Monterrey,Virtual,50000,32,Aceptada,False,0.0,19.18768539,0,Wednesday,2020,3,%%
27,F,881.9959251,2020-01-25,12,Farmacia,,Fsica,73000,58,Aceptada,False,176.399185,7.055967401,1,Saturday,2020,4,ANDROID
28,F,132.3642777,2020-01-24,8,,,Virtual,46000,38,Aceptada,True,13.23642777,2.382556998,0,Friday,2020,2,","
28,F,174.838368,2020-01-30,10,,,Virtual,46000,38,Aceptada,True,17.4838368,3.147090623,0,Thursday,2020,4,ANDROID
28,F,14.50330966,2020-01-30,6,Farmacia,,Fsica,46000,38,Aceptada,True,1.450330966,0.130529787,0,Thursday,2020,3,WEB
28,F,140.7517963,2020-01-30,5,Restaurante,,Fsica,46000,38,Aceptada,True,0.0,1.407517963,0,Thursday,2020,4,WEB
28,F,557.697458,2020-01-30,6,Restaurante,,Virtual,46000,38,Aceptada,True,0.0,11.15394916,0,Thursday,2020,2,ANDROID
28,F,350.0045899,2020-01-27,6,,,Virtual,46000,38,Rechazada,True,35.00045899,6.300082619,0,Monday,2020,3,%%
28,F,542.380919,2020-01-27,4,Farmacia,,Fsica,46000,38,Rechazada,True,0.0,5.42380919,0,Monday,2020,1,WEB
28,F,651.1433538,2020-01-24,18,Farmacia,,Virtual,46000,38,Aceptada,True,0.0,13.02286708,0,Friday,2020,5,ANDROID
28,F,15.93006372,2020-01-29,18,Restaurante,,Fsica,46000,38,En proceso,True,0.0,0.159300637,0,Wednesday,2020,5,WEB
33,--,427.172143,2020-01-29,2,MPago,Guadalajara,Fsica,81000,50,Rechazada,False,0.0,4.27172143,0,Wednesday,2020,5,%%
34,F,186.1349966,2020-01-25,14,Super,Toluca,Virtual,27000,50,Aceptada,False,0.0,3.722699931,0,Saturday,2020,5,%%
34,F,36.79599962,2020-01-29,14,Farmacia,Toluca,Virtual,27000,50,Aceptada,False,3.679599962,0.662327993,0,Wednesday,2020,1,","
34,F,701.6852871,2020-01-25,23,MPago,Toluca,Fsica,27000,50,Aceptada,False,0.0,7.016852871,0,Saturday,2020,5,","
34,F,973.5972005,2020-01-27,7,Restaurante,Toluca,Fsica,27000,50,Aceptada,False,0.0,9.735972005,0,Monday,2020,1,","
34,F,367.7801121,2020-01-26,19,,Toluca,Virtual,27000,50,En proceso,False,36.77801121,6.620042019,0,Sunday,2020,3,WEB
34,F,405.1222201,2020-01-27,6,Abarrotes,Toluca,Fsica,27000,50,Aceptada,False,0.0,4.051222201,0,Monday,2020,5,WEB
34,F,332.3329744,2020-01-23,16,Super,Toluca,Fsica,27000,50,Aceptada,False,33.23329744,2.99099677,0,Thursday,2020,4,ANDROID
36,M,567.5750555,2020-01-27,9,Super,,Fsica,94000,42,Aceptada,False,0.0,5.675750555,0,Monday,2020,1,ANDROID
36,M,703.7757208,2020-01-24,12,,,Fsica,94000,42,Aceptada,False,70.37757208,6.333981487,0,Friday,2020,1,WEB
36,M,612.3289174,2020-01-23,14,Abarrotes,,Fsica,94000,42,En proceso,False,61.23289174,5.510960257,0,Thursday,2020,3,WEB
36,M,923.7379274,2020-01-27,2,Restaurante,,Fsica,94000,42,Aceptada,False,0.0,9.237379274,0,Monday,2020,4,WEB
36,M,49.32154844,2020-01-28,4,Farmacia,,Fsica,94000,42,En proceso,False,0.0,0.493215484,0,Tuesday,2020,1,ANDROID
36,M,580.4064248,2020-01-26,13,Super,,Virtual,94000,42,En proceso,False,58.04064248,10.44731565,0,Sunday,2020,2,ANDROID
36,M,434.9411103,2020-01-24,16,,,Fsica,94000,42,Rechazada,False,43.49411103,3.914469993,0,Friday,2020,4,WEB
36,M,112.4917378,2020-01-28,2,Abarrotes,,Fsica,94000,42,Aceptada,False,0.0,1.124917378,0,Tuesday,2020,2,%%
38,F,529.0987556,2020-01-24,7,Restaurante,Toluca,Fsica,39000,34,En proceso,False,0.0,5.290987556,0,Friday,2020,5,WEB
38,F,439.2226908,2020-01-24,22,Farmacia,Toluca,Virtual,39000,34,Aceptada,False,0.0,8.784453816,0,Friday,2020,3,ANDROID
38,F,626.4215441,2020-01-25,11,,Toluca,Fsica,39000,34,Aceptada,False,0.0,6.264215441,0,Saturday,2020,3,","
38,F,984.4620952,2020-01-24,9,Restaurante,Toluca,Fsica,39000,34,En proceso,False,0.0,9.844620952,0,Friday,2020,1,","
38,F,429.7317833,2020-01-25,11,,Toluca,Fsica,39000,34,Aceptada,False,85.94635665,3.437854266,0,Saturday,2020,4,%%
39,F,568.5131406,2020-01-26,21,Abarrotes,,Fsica,30000,58,Aceptada,False,0.0,5.685131406,0,Sunday,2020,5,","
40,F,683.6706167,2020-01-29,5,,,Fsica,37000,54,Aceptada,False,0.0,6.836706167,0,Wednesday,2020,5,ANDROID
