ID_USER,GENERO,MONTO,FECHA,HORA,ESTABLECIMIENTO,CIUDAD,TIPO_TC,LINEA_TC,INTERES_TC,STATUS_TXN,IS_PRIME,DCTO,CASHBACK,FRAUDE,DIA_DE_LA_SEMANA,MODEL,DEVICE_SCORE,OS
0,F,608.3456335,2020-01-21,20,Super,Merida,Fsica,71000,51,Aceptada,False,60.83456335,5.475110702,0,Tuesday,2020,3,ANDROID
0,F,88.71924289,2020-01-15,7,,Merida,Virtual,71000,51,Aceptada,False,0.0,1.774384858,0,Wednesday,2020,1,ANDROID
1,F,790.0376533,2020-01-17,11,,Guadalajara,Virtual,94000,56,En proceso,False,0.0,15.80075307,0,Friday,2020,1,","
1,F,767.0053873,2020-01-05,11,MPago,Guadalajara,Fsica,94000,56,Aceptada,False,0.0,7.670053873,0,Sunday,2020,3,WEB
1,F,334.5160168,2020-01-06,2,Abarrotes,Guadalajara,Fsica,94000,56,Aceptada,False,33.45160168,3.010644152,0,Monday,2020,1,%%
1,F,322.2644048,2020-01-11,13,MPago,Guadalajara,Fsica,94000,56,Aceptada,False,0.0,3.222644048,0,Saturday,2020,4,%%
1,F,911.7978036,2020-01-19,3,Abarrotes,Guadalajara,Virtual,94000,56,Aceptada,False,91.17978036,16.41236046,0,Sunday,2020,3,","
2,F,160.0951872,2020-01-08,2,,Toluca,Fsica,55000,57,Aceptada,False,16.00951872,1.440856685,0,Wednesday,2020,3,WEB
2,F,60.74276394,2020-01-18,10,,Toluca,Fsica,55000,57,Aceptada,False,0.0,0.607427639,0,Saturday,2020,1,ANDROID
2,F,517.5417181,2020-01-07,14,Farmacia,Toluca,Fsica,55000,57,Aceptada,False,51.75417181,4.657875463,0,Tuesday,2020,2,WEB
2,F,576.2429866,2020-01-04,8,,Toluca,Fsica,55000,57,Aceptada,False,0.0,5.762429866,0,Saturday,2020,2,ANDROID
5,M,680.8970683,2020-01-04,15,Super,Monterrey,Fsica,33000,54,Aceptada,False,136.1794137,5.447176546,0,Saturday,2020,5,%%
5,M,243.0206747,2020-01-11,3,,Monterrey,Fsica,33000,54,Aceptada,False,0.0,2.430206747,1,Saturday,2020,1,","
7,--,905.1150722,2020-01-22,23,,Guadalajara,Virtual,72000,57,Aceptada,False,90.51150722,16.2920713,0,Wednesday,2020,4,ANDROID
7,--,392.6937372,2020-01-16,10,,Guadalajara,Fsica,72000,57,Aceptada,False,0.0,3.926937372,0,Thursday,2020,1,%%
7,--,621.6047006,2020-01-19,13,MPago,Guadalajara,Fsica,72000,57,Aceptada,False,0.0,6.216047006,0,Sunday,2020,2,%%
7,--,43.72167021,2020-01-04,17,Abarrotes,Guadalajara,Fsica,72000,57,Aceptada,False,0.0,0.437216702,1,Saturday,2020,1,WEB
7,--,444.2993421,2020-01-17,6,,Guadalajara,Virtual,72000,57,En proceso,False,0.0,8.885986842,0,Friday,2020,3,WEB
8,M,460.1188027,2020-01-12,18,,,Fsica,76000,58,Aceptada,False,46.01188027,4.141069224,0,Sunday,2020,1,ANDROID
8,M,972.1334966,2020-01-05,14,Restaurante,,Fsica,76000,58,Aceptada,False,0.0,9.721334966,0,Sunday,2020,4,ANDROID
8,M,594.7690795,2020-01-12,3,,,Virtual,76000,58,Rechazada,False,59.47690795,10.70584343,0,Sunday,2020,4,WEB
8,M,689.4506893,2020-01-15,4,Restaurante,,Fsica,76000,58,Aceptada,False,0.0,6.894506893,0,Wednesday,2020,1,","
9,F,687.6252621,2020-01-21,4,,,Fsica,62000,45,En proceso,False,68.76252621,6.188627359,0,Tuesday,2020,1,","
9,F,305.1780781,2020-01-04,11,,,Fsica,62000,45,Aceptada,False,30.51780781,2.746602703,0,Saturday,2020,1,ANDROID
