MONTO,HORA,DEVICE_SCORE,LINEA_TC,INTERES_TC,DCTO,CASHBACK,IS_PRIME,FRAUDE,GENERO_F,GENERO_M,OS_WEB,OS_ANDROID,OS_OTHER,DIA_DE_LA_SEMANA_MONDAY,DIA_DE_LA_SEMANA_TUESDAY,DIA_DE_LA_SEMANA_WEDNESDAY,DIA_DE_LA_SEMANA_THURSDAY,DIA_DE_LA_SEMANA_FRIDAY,DIA_DE_LA_SEMANA_SATURDAY,DIA_DE_LA_SEMANA_SUNDAY,ESTABLECIMIENTO_RESTAURANTE,ESTABLECIMIENTO_ABARROTES,ESTABLECIMIENTO_SUPER,ESTABLECIMIENTO_MPAGO,ESTABLECIMIENTO_FARMACIA,ESTABLECIMIENTO_OTHER,CIUDAD_TOLUCA,CIUDAD_GUADALAJARA,CIUDAD_MERIDA,CIUDAD_MONTERREY,CIUDAD_OTHER,TIPO_TC_FSICA,TIPO_TC_VIRTUAL
866.7336242,11.0,1.0,25000.0,60.0,0.0,8.667336242,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
324.3889517,10.0,3.0,90000.0,51.0,0.0,6.487779035,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
308.442264,13.0,1.0,59000.0,54.0,0.0,3.08442264,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
806.9354009,23.0,4.0,48000.0,56.0,80.69354009,7.262418608,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
258.4286813,6.0,5.0,31000.0,58.0,25.84286813,2.325858132,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
762.667097,4.0,3.0,26000.0,38.0,76.2667097,6.864003873,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
51.33346271,8.0,4.0,67000.0,35.0,0.0,0.513334627,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
237.4659982,7.0,3.0,40000.0,62.0,23.74659982,2.137193984,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
774.1953783,15.0,2.0,98000.0,62.0,0.0,15.48390757,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
889.9539448,17.0,1.0,95000.0,51.0,0.0,17.7990789,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
528.8164111,6.0,4.0,85000.0,45.0,0.0,5.288164111,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
208.3799475,13.0,2.0,77000.0,63.0,0.0,2.083799475,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
683.1226676,18.0,1.0,46000.0,49.0,68.31226676,6.148104009,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
138.3710907,21.0,1.0,33000.0,44.0,0.0,2.767421814,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
892.3009855,7.0,1.0,33000.0,63.0,89.23009855,16.06141774,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
464.1263585,11.0,2.0,69000.0,60.0,0.0,4.641263585,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
366.1014934,15.0,4.0,38000.0,61.0,36.61014934,3.294913441,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
530.5515595,9.0,2.0,72000.0,61.0,53.05515595,4.774964036,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
834.7739365,3.0,5.0,49000.0,64.0,0.0,8.347739365,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
702.3480905,2.0,1.0,29000.0,36.0,0.0,7.023480905,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
684.4702867,9.0,1.0,67000.0,42.0,68.44702867,6.16023258,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
737.7623396,23.0,1.0,29000.0,38.0,0.0,7.377623396,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1.228273564,9.0,5.0,99000.0,56.0,0.0,0.012282736,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
237.3767023,10.0,5.0,76000.0,42.0,0.0,4.747534047,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
582.6184414,4.0,5.0,51000.0,42.0,0.0,11.65236883,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
285.6573338,13.0,5.0,31000.0,57.0,57.13146676,2.28525867,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
39.82711212,5.0,5.0,65000.0,51.0,3.982711212,0.358444009,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
201.8590586,22.0,4.0,63000.0,39.0,0.0,2.018590586,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
174.9576683,6.0,3.0,89000.0,57.0,0.0,3.499153365,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
535.3560669,11.0,5.0,85000.0,35.0,0.0,10.70712134,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
153.5838201,21.0,2.0,99000.0,61.0,0.0,1.535838201,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
256.8233779,4.0,2.0,75000.0,41.0,0.0,5.136467558,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
815.7400939,5.0,3.0,80000.0,49.0,0.0,16.31480188,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
564.0899815,11.0,1.0,84000.0,60.0,0.0,11.28179963,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
816.582141,21.0,2.0,64000.0,36.0,0.0,8.16582141,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
155.4009887,4.0,2.0,76000.0,46.0,0.0,3.108019773,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
578.2024551,14.0,1.0,87000.0,35.0,0.0,5.782024551,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
311.1300863,2.0,1.0,81000.0,54.0,31.11300863,2.800170777,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
601.8045226,18.0,1.0,52000.0,62.0,0.0,12.03609045,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
953.3429274,8.0,5.0,29000.0,49.0,95.33429274,8.580086347,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
936.1564626,22.0,1.0,27000.0,51.0,0.0,18.72312925,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
838.2135262,10.0,5.0,88000.0,64.0,0.0,8.382135262,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
958.1406928,20.0,2.0,49000.0,62.0,0.0,9.581406928,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
781.9162462,1.0,4.0,60000.0,51.0,0.0,7.819162462,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
424.7458114,10.0,3.0,60000.0,43.0,0.0,4.247458114,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
393.7421465,16.0,3.0,59000.0,38.0,78.74842929,6.299874343,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
571.0783686,15.0,5.0,80000.0,55.0,0.0,11.42156737,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
203.1756157,16.0,5.0,85000.0,59.0,0.0,4.063512315,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
86.57011637,13.0,1.0,28000.0,42.0,0.0,1.731402327,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
889.7700215,7.0,1.0,62000.0,35.0,0.0,17.79540043,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
315.9024421,14.0,5.0,28000.0,61.0,0.0,3.159024421,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
478.8856711,20.0,5.0,91000.0,45.0,0.0,9.577713422,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
985.907925,1.0,4.0,95000.0,50.0,0.0,9.85907925,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
457.6889902,7.0,5.0,39000.0,51.0,0.0,9.153779804,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
615.0224522,17.0,3.0,33000.0,34.0,0.0,12.30044904,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
583.5947186,14.0,1.0,78000.0,59.0,0.0,5.835947186,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
103.0592567,7.0,1.0,64000.0,34.0,0.0,1.030592567,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
92.26840733,10.0,1.0,56000.0,49.0,9.226840733,0.830415666,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
815.5124212,5.0,4.0,68000.0,44.0,0.0,8.155124212,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
312.8270551,19.0,2.0,70000.0,58.0,0.0,3.128270551,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
37.53087816,8.0,2.0,98000.0,63.0,3.753087816,0.337777903,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
706.892847,1.0,2.0,82000.0,58.0,70.6892847,6.362035623,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
129.6825122,1.0,4.0,54000.0,33.0,12.96825122,1.167142609,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
318.152965,12.0,2.0,29000.0,50.0,0.0,3.18152965,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
533.7783157,7.0,2.0,90000.0,42.0,0.0,5.337783157,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
279.6362523,3.0,4.0,32000.0,60.0,55.92725047,2.237090019,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
45.87431583,4.0,5.0,70000.0,42.0,0.0,0.917486317,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
290.4728801,18.0,4.0,51000.0,40.0,0.0,2.904728801,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
991.0142661,19.0,1.0,99000.0,48.0,198.2028532,15.85622826,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
130.1501905,14.0,2.0,32000.0,45.0,13.01501905,1.171351715,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
762.5927421,13.0,4.0,51000.0,57.0,0.0,7.625927421,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
870.8704723,12.0,4.0,78000.0,37.0,0.0,8.708704723,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
711.5369215,18.0,1.0,76000.0,42.0,71.15369215,12.80766459,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
894.7754873,22.0,5.0,82000.0,51.0,0.0,8.947754873,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
